title,score,revenue,year,released
Margin Call,6.7,19504039,2011,2012-09-21
Marie Antoinette,6.5,60474340,2006,2006-10-20
Marley & Me,6.9,244082376,2008,2008-12-25
Mars Attacks!,6.1,101371017,1996,1996-12-13
Mary Reilly,5.7,12379402,1996,1996-02-23
Master and Commander: The Far Side of the World,6.9,212011111,2003,2003-11-14
Match Point,7.3,85306374,2005,2006-01-20
Max,6.8,43967255,2002,2003-06-20
Max,6.8,43967255,2015,2015-06-26
Max Payne,5.2,85416905,2008,2008-10-17
Maximum Risk,5.2,51702483,1996,1996-09-13
May,6.3,150277,2002,2003-04-11
Maze Runner: The Scorch Trials,6.4,311256926,2015,2015-09-18
Me and Orson Welles,6.6,2336172,2008,2009-12-18
Me Before You,7.6,207945075,2016,2016-06-03
"Me, Myself & Irene",6.1,149270999,2000,2000-06-23
Mean Creek,6.9,603943,2004,2004-09-29
Mean Girls,6.9,129042871,2004,2004-04-30
Meet Dave,5,50650079,2008,2008-07-11
Meet Joe Black,6.9,142940100,1998,1998-11-13
Meet the Fockers,6.1,516642939,2004,2004-12-22
Meet the Parents,6.6,330444045,2000,2000-10-06
Meet the Spartans,3.7,84646831,2008,2008-01-25
Megamind,6.7,321887208,2010,2010-11-05
Memento,8.1,39723096,2000,2001-05-25
Memoirs of a Geisha,7.3,162242962,2005,2005-12-23
Memoirs of an Invisible Man,5.7,14358033,1992,1992-02-28
Men in Black,6.9,589390539,1997,1997-07-02
Men in Black 3,6.2,624026776,2012,2012-05-25
Men in Black II,6,441818803,2002,2002-07-03
Men of Honor,7,48814909,2000,2000-11-10
Menace II Society,7.2,27900000,1993,1993-05-26
Message in a Bottle,5.8,118880016,1999,1999-02-12
Michael Clayton,6.5,92991835,2007,2007-10-12
Michael Collins,6.7,16900000,1996,1996-10-25
Midnight in Paris,7.4,151119219,2011,2011-06-10
Midnight in the Garden of Good and Evil,6.3,25105255,1997,1997-11-21
Midnight Run,7.2,38413606,1988,1988-07-20
Midnight Special,6.2,6212282,2016,2016-04-21
Milk,7.1,54586584,2008,2009-01-30
Million Dollar Arm,6.6,38307627,2014,2014-05-16
Million Dollar Baby,7.7,216763646,2004,2005-01-28
Minions,6.4,1156730962,2015,2015-07-10
Minority Report,7.1,358372926,2002,2002-06-21
Miracle,7,64445708,2004,2004-02-06
Miracle at St. Anna,6.3,9323833,2008,2008-09-26
Miracles from Heaven,6.7,77000000,2016,2016-03-16
Mirror Mirror,5.5,183018522,2012,2012-03-30
Mirrormask,6.6,866999,2005,2006-03-03
Mirrors,6,72436439,2008,2008-08-15
Miss Congeniality,6.1,212000000,2000,2000-12-22
Miss Potter,6.3,35078241,2006,2007-03-09
Mission to Mars,5.7,60874615,2000,2000-03-10
Mission: Impossible,6.7,457696359,1996,1996-05-22
Mission: Impossible - Ghost Protocol,6.8,694713380,2011,2011-12-21
Mission: Impossible II,5.9,546388105,2000,2000-05-24
Mission: Impossible III,6.5,397850012,2006,2006-05-05
Mo' Better Blues,6.3,16153593,1990,1990-08-03
Moms' Night Out,5.5,10429707,2014,2014-05-09
Mondays in the Sun,7.1,146402,2002,2003-05-09
Money Monster,6.5,93282604,2016,2016-05-13
Money Train,5.4,35431113,1995,1995-11-22
Moneyball,7,110206216,2011,2011-09-23
Mongol: The Rise of Genghis Khan,6.5,26527510,2007,2008-07-04
Monkeybone,4.3,5409517,2001,2001-02-23
Monster House,6.3,140175006,2006,2006-07-21
Monster's Ball,6.5,44909486,2001,2002-03-01
Monsters University,7,743559607,2013,2013-06-21
"Monsters, Inc.",7.5,562816256,2001,2001-11-02
Moon,7.6,9760104,2009,2009-07-10
Moonrise Kingdom,7.6,68263166,2012,2012-06-29
Morning Glory,6.1,58785180,2010,2010-11-10
Mortal Kombat,5.4,122195920,1995,1995-08-18
Mortal Kombat: Annihilation,3.8,51376861,1997,1997-11-21
Mortdecai,5.4,30418560,2015,2015-01-23
Movie 43,4.4,32438988,2013,2013-01-25
Mr. & Mrs. Smith,6.5,478207520,2005,2005-06-10
Mr. Bean's Holiday,6.1,229736344,2007,2007-08-24
Mr. Deeds,5.6,171269535,2002,2002-06-28
Mr. Peabody & Sherman,6.7,272912430,2014,2014-03-07
Mr. Popper's Penguins,5.7,187361754,2011,2011-06-17
Mrs. Doubtfire,7,441286195,1993,1993-11-24
Mrs. Winterbourne,5.3,10070000,1996,1996-04-19
Mud,7,21587700,2012,2013-05-10
Mulan,7.6,304320254,1998,1998-06-19
Mulholland Drive,7.6,20117339,2001,2001-10-19
Munich,6.9,130358911,2005,2006-01-06
Muppets from Space,5.8,16290976,1999,1999-07-14
Muppets Most Wanted,6.2,80383290,2014,2014-03-21
Murder by Numbers,6,56714147,2002,2002-04-19
Music and Lyrics,6.2,145896422,2007,2007-02-14
Must Love Dogs,5.8,58405313,2005,2005-07-29
My Best Friend's Girl,5.4,36620508,2008,2008-09-19
My Best Friend's Wedding,6.3,299288605,1997,1997-06-20
My Big Fat Greek Wedding 2,5.5,88923251,2016,2016-03-25
My Bloody Valentine,5.3,100734718,2009,2009-01-16
My Cousin Vinny,7.3,64088552,1992,1992-03-13
My Favorite Martian,5.1,36850101,1999,1999-02-12
My Life in Ruins,5.6,20455276,2009,2009-06-05
My Name Is Khan,7.7,42345360,2010,2010-02-12
My Sister's Keeper,7.1,95714875,2009,2009-06-26
My Soul to Take,5.2,19829957,2010,2010-10-08
My Stepmother is an Alien,5.3,13854000,1988,1988-12-09
Mystery Men,5.7,29762011,1999,1999-08-06
"Mystery, Alaska",6,8888143,1999,1999-10-01
Mystic River,7.6,156822020,2003,2003-10-15
Nacho Libre,5.6,80197993,2006,2006-06-16
Nanny McPhee,6.4,122489822,2005,2006-01-27
Napoleon Dynamite,6.7,46118097,2004,2004-08-27
Narc,6.8,12633747,2002,2003-01-10
National Treasure,6.4,347451894,2004,2004-11-19
Nebraska,7.4,17654912,2013,2014-01-24
Need for Speed,6.1,203277636,2014,2014-03-14
Neighbors,6.2,268157400,2014,2014-05-09
Neighbors 2: Sorority Rising,5.6,108758521,2016,2016-05-20
Nerve,7.1,83707310,2016,2016-07-27
Never Back Down,6.4,41627431,2008,2008-03-14
Never Let Me Go,6.8,9455232,2010,2010-10-15
New in Town,5.2,29010817,2009,2009-01-30
New Nightmare,6.4,18090181,1994,1994-10-14
New Year's Eve,5.7,142044638,2011,2011-12-09
Next Friday,6.4,59827328,2000,2000-01-12
Nick and Norah's Infinite Playlist,6.4,32973937,2008,2008-10-03
Night at the Museum,6.3,574480841,2006,2006-12-22
Night at the Museum: Battle of the Smithsonian,5.9,413106170,2009,2009-05-22
Night at the Museum: Secret of the Tomb,6.1,349424282,2014,2014-12-19
Night of the Living Dead,7.5,30000000,1990,1990-10-19
Night Watch,6.3,32000000,2004,2006-03-03
Nightcrawler,7.6,38697217,2014,2014-10-31
Nim's Island,5.6,100076342,2008,2008-04-04
Nine,5.1,53825515,2009,2009-12-25
Ninja Assassin,6.2,60462347,2009,2009-11-25
Nixon,7.1,13681765,1995,1996-01-05
No Country for Old Men,7.7,171600000,2007,2007-11-21
No Escape,6.7,54418872,1994,1994-04-29
No Escape,6.7,54418872,2015,2015-08-26
No Good Deed,5.6,53830415,2014,2014-09-12
No Reservations,6.1,92601050,2007,2007-07-27
No Strings Attached,6.1,147780440,2011,2011-01-21
Noah,5.6,362637473,2014,2014-03-28
Non-Stop,6.8,222809600,2014,2014-02-28
North Country,6.8,25224242,2005,2005-10-21
Not Another Teen Movie,5.5,66468332,2001,2001-12-14
Notes on a Scandal,6.9,49469904,2006,2007-01-26
Notting Hill,7,363889678,1999,1999-05-28
Now You See Me,7.3,117698894,2013,2013-05-31
Nutty Professor II: The Klumps,4.7,123307945,2000,2000-07-28
"O Brother, Where Art Thou?",7.3,71868327,2000,2001-02-02
Oblivion,6.4,286168572,2013,2013-04-19
Ocean's Eleven,7.2,450717150,2001,2001-12-07
Ocean's Thirteen,6.5,311312624,2007,2007-06-08
Ocean's Twelve,6.4,362744280,2004,2004-12-10
Oculus,6.3,44030246,2013,2014-04-11
Old Dogs,5.2,92219310,2009,2009-11-25
Old School,6.6,87055349,2003,2003-02-21
Olympus Has Fallen,6.2,161025640,2013,2013-03-22
On Deadly Ground,4.5,49000000,1994,1994-02-18
On the Road,5.5,8784318,2012,2012-05-23
Once Upon a Time in Mexico,6.2,98185582,2003,2003-09-12
Ondine,6.5,1644755,2009,2011-04-06
One Day,7,59389433,2011,2011-08-19
One for the Money,5.3,36893721,2012,2012-01-27
One Hour Photo,6.6,52223306,2002,2002-09-13
One Night with the King,6.1,13391174,2006,2006-10-13
Open Range,7,68296293,2003,2003-08-15
Open Season,6.1,197309027,2006,2006-09-29
Open Water,5.4,54667954,2003,2004-08-20
Original Sin,5.8,35402320,2001,2001-08-03
Osmosis Jones,5.9,13596911,2001,2001-08-10
Ouija,4.9,103590271,2014,2014-10-24
Our Brand Is Crisis,5.8,7002261,2015,2015-10-30
Our Idiot Brother,5.9,17273593,2011,2011-08-26
Out Cold,5.8,14782676,2001,2001-11-21
Out of Sight,6.5,77745568,1998,1998-06-26
Out of the Furnace,6.5,15400000,2013,2013-12-06
Out of Time,6.1,55495563,2003,2003-10-03
Outbreak,6.3,189859560,1995,1995-03-10
Outside Providence,5.6,7292175,1999,1999-09-01
Over the Hedge,6.3,343397247,2006,2006-05-19
P.S. I Love You,6.9,156835339,2007,2007-12-21
Pacific Rim,6.7,407602906,2013,2013-07-12
Paddington,7,259207227,2014,2015-01-16
Pain & Gain,6.1,86175291,2013,2013-04-26
Pan,5.9,128388320,2015,2015-10-09
Pandorum,6.5,20645327,2009,2009-09-25
Panic Room,6.5,196397415,2002,2002-03-29
Paper Towns,6.1,85512300,2015,2015-07-24
Paranormal Activity,5.9,193355800,2007,2009-10-16
Paranormal Activity 2,5.7,177512032,2010,2010-10-22
Paranormal Activity 3,5.9,205703818,2011,2011-10-21
Paranormal Activity 4,5.2,142817992,2012,2012-10-19
ParaNorman,6.7,107139399,2012,2012-08-17
"Paris, je t'aime",6.8,4857367,2006,2007-06-15
Parker,5.7,46216641,2013,2013-01-25
Party Monster,5.9,742898,2003,2003-10-17
Patch Adams,7,202292902,1998,1998-12-25
Patriot Games,6.3,178051587,1992,1992-06-05
Paul,6.5,97552050,2011,2011-03-18
Paul Blart: Mall Cop,5.2,183293131,2009,2009-01-16
Paul Blart: Mall Cop 2,5,107597242,2015,2015-04-17
Pay It Forward,7,55707411,2000,2000-10-20
Payback,6.7,161626121,1999,1999-02-05
Paycheck,5.9,96269812,2003,2003-12-25
PCU,6,4350774,1994,1994-04-29
Pearl Harbor,6.6,449220945,2001,2001-05-25
Peggy Sue Got Married,5.9,41382841,1986,1986-10-10
Penguins of Madagascar,6.5,373552094,2014,2014-11-26
Percy Jackson & the Olympians: The Lightning Thief,6,226497209,2010,2010-02-12
Percy Jackson: Sea of Monsters,5.9,174578751,2013,2013-08-07
Pet Sematary,6.4,57469467,1989,1989-04-21
Pete's Dragon,6.2,143695338,2016,2016-08-12
Phantasm II,6.3,7282851,1988,1988-07-08
Phenomenon,6.2,152036382,1996,1996-07-03
Philadelphia,7.6,206678440,1993,1994-01-14
Philomena,7.4,100129872,2013,2013-11-27
Phone Booth,6.7,97837138,2002,2003-04-04
Pi,7.1,3221152,1998,1998-07-10
Pineapple Express,6.6,101624843,2008,2008-08-06
Piranha 3D,5.3,83188165,2010,2010-08-20
Pirates of the Caribbean: At World's End,6.9,961000000,2007,2007-05-25
Pirates of the Caribbean: Dead Man's Chest,7,1065659812,2006,2006-07-07
Pirates of the Caribbean: On Stranger Tides,6.4,1045713802,2011,2011-05-20
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,655011224,2003,2003-07-09
Pitch Black,6.7,53187659,2000,2000-02-18
Pitch Perfect,7.3,115350426,2012,2012-10-05
Pitch Perfect 2,6.8,287506194,2015,2015-05-15
Pixels,5.6,243637091,2015,2015-07-24
Planet of the Apes,5.6,362211740,2001,2001-07-27
Platoon,7.5,138530565,1986,1987-02-06
Play It to the Bone,5.7,8434146,1999,2000-01-21
Pocahontas,6.7,346079773,1995,1995-06-23
Poetic Justice,6.9,27515786,1993,1993-07-23
Poltergeist,7,122200000,2015,2015-05-22
Poltergeist III,4.5,14144000,1988,1988-06-10
Ponyo,7.5,187479518,2008,2009-08-14
Poseidon,5.5,181674817,2006,2006-05-12
Practical Magic,6.3,46683377,1998,1998-10-16
Precious,6.9,47536959,2009,2009-11-20
Predator,7.3,98235548,1987,1987-06-12
Predator 2,5.9,57120318,1990,1990-11-21
Predators,6,126248813,2010,2010-07-09
Prefontaine,6.7,589304,1997,1997-01-24
Premium Rush,6.2,31083599,2012,2012-08-24
Premonition,5.8,84146832,2007,2007-03-16
Pretty Woman,7,463000000,1990,1990-03-23
Pride & Prejudice,7.7,121147947,2005,2005-11-23
Pride and Glory,6.3,31148328,2008,2008-10-24
Pride and Prejudice and Zombies,5.5,16374328,2016,2016-02-05
Priest,5.4,78309131,2011,2011-05-13
Primer,6.9,424760,2004,2005-05-27
Prince of Persia: The Sands of Time,6.2,335154643,2010,2010-05-28
Prison,6.7,354704,1987,1987-12-08
Prisoners,7.9,122126687,2013,2013-09-20
Project Almanac,6.4,32248241,2015,2015-01-30
Project X,6.5,100000000,1987,1987-04-17
Project X,6.5,100000000,2012,2012-03-02
Prom,5.7,10130000,2011,2011-04-29
Prometheus,6.3,403170142,2012,2012-06-08
Promised Land,6,8138788,2012,2013-01-04
Psycho,8.2,32000000,1998,1998-12-04
Public Enemies,6.5,214104620,2009,2009-07-01
Pulp Fiction,8.3,213928762,1994,1994-10-14
Pulse,5,29907685,1988,1988-03-04
Pulse,5,29907685,2006,2006-08-11
Punch-Drunk Love,6.9,17000000,2002,2002-11-01
Punisher: War Zone,5.6,10089373,2008,2008-12-05
Quantum of Solace,6.1,586090727,2008,2008-11-14
Quarantine,5.5,40855419,2008,2008-10-10
Quartet,6.3,59520298,2012,2013-03-01
Queen of the Damned,5.4,45479110,2002,2002-02-22
Quills,6.8,7060876,2000,2000-12-25
R.I.P.D.,5.4,61648500,2013,2013-07-19
Rabbit Hole,6.9,5129058,2010,2011-01-28
Race to Witch Mountain,5.5,106303988,2009,2009-03-13
Racing Stripes,5.1,93772522,2005,2005-01-14
Radio,6.8,52277485,2003,2003-10-24
Radio Flyer,6.6,4651977,1992,1992-02-21
Rain Man,7.6,412800000,1988,1988-12-16
Raise Your Voice,6,14867514,2004,2004-10-08
Raising Helen,5.9,49718611,2004,2004-05-28
Rambo III,5.7,189015611,1988,1988-05-25
Random Hearts,5.3,74608570,1999,1999-10-08
Rango,6.6,245724603,2011,2011-03-04
Ransom,6.4,309492681,1996,1996-11-08
Rapa Nui,6.2,305070,1994,1994-09-09
Rat Race,6,85498534,2001,2001-08-17
Ratatouille,7.5,623722818,2007,2007-06-29
Ray,7.2,124731534,2004,2004-10-29
Ready to Rumble,4.7,12372410,2000,2000-04-07
Real Steel,6.6,299268508,2011,2011-10-07
Recess: School's Out,6.6,44460850,2001,2001-02-16
RED,6.6,71664962,2010,2010-10-15
Red Dawn,6.4,38376497,2012,2012-11-21
Red Eye,6.2,57891803,2005,2005-08-19
Red Planet,5.4,33463969,2000,2000-11-10
Red Riding Hood,5.6,89162162,2011,2011-03-11
Red State,5.9,1104682,2011,2011-09-30
Red Tails,5.9,50365377,2012,2012-01-20
Reign of Fire,6,43061982,2002,2002-07-12
Reign Over Me,7.1,22222308,2007,2007-03-23
Reindeer Games,5.4,32168970,2000,2000-02-25
Remember the Titans,7.4,136706683,2000,2000-09-29
Renaissance Man,5.9,24332324,1994,1994-06-03
Rendition,6.2,24748670,2007,2007-10-19
Reno 911!: Miami,5.6,20342161,2007,2007-02-23
Rent,6.7,31670620,2005,2005-11-23
Repo Men,6.2,18409891,2010,2010-03-19
Requiem for a Dream,7.9,7390108,2000,2000-12-15
Rescue Dawn,6.9,7177143,2006,2007-07-27
Reservoir Dogs,8,14661007,1992,1992-09-02
Resident Evil,6.4,102984862,2002,2002-03-15
Resident Evil: Afterlife,5.8,300228084,2010,2010-09-10
Resident Evil: Apocalypse,6.1,129394835,2004,2004-09-10
Resident Evil: Extinction,6.1,148412065,2007,2007-09-21
Resident Evil: Retribution,5.6,240159255,2012,2012-09-14
Return to Me,6.1,36609995,2000,2000-04-07
Return to the Blue Lagoon,5.1,2807854,1991,1991-08-02
Revolutionary Road,6.7,75225693,2008,2009-01-23
Riddick,6.2,98337295,2013,2013-09-06
Ride Along,6.1,153997819,2014,2014-01-17
Ride with the Devil,6.6,635096,1999,1999-11-05
Riding in Cars with Boys,6.5,35743308,2001,2001-10-19
Righteous Kill,5.9,73174566,2008,2008-09-12
Rio,6.5,484635760,2011,2011-04-15
Rio 2,6.3,500188435,2014,2014-04-11
Rise of the Guardians,7.1,306941670,2012,2012-11-21
Rise of the Planet of the Apes,7,482860185,2011,2011-08-05
Risen,5.7,46069568,2016,2016-02-19
Road House,6.3,30050028,1989,1989-05-19
Road to Perdition,7.3,181001478,2002,2002-07-12
Road Trip,5.9,119754278,2000,2000-05-19
Rob Roy,6.5,31596911,1995,1995-04-14
Robin Hood,6.2,310669540,2010,2010-05-14
Robin Hood: Prince of Thieves,6.6,390493908,1991,1991-06-14
RoboCop,5.7,242688965,1987,1987-07-17
RoboCop,5.7,242688965,2014,2014-02-12
RoboCop 3,4.2,10696210,1993,1993-11-05
Robot & Frank,6.8,3325038,2012,2012-09-19
Robots,6,260696994,2005,2005-03-11
Rock of Ages,6,59418613,2012,2012-06-15
Rock Star,6,16991902,2001,2001-09-07
RockNRolla,6.9,25739015,2008,2008-10-31
Rocky Balboa,6.5,155721132,2006,2006-12-20
Romeo + Juliet,6.7,147298761,1996,1996-11-01
Romeo Is Bleeding,5.7,3275585,1993,1994-02-04
Romeo Must Die,6,91036760,2000,2000-03-22
Ronin,6.7,41610884,1998,1998-09-25
Rounders,6.9,22921898,1998,1998-09-11
Rubber,5.7,98017,2010,2010-11-10
Ruby in Paradise,5.6,1001437,1993,1993-11-05
Rumble in the Bronx,6.5,32392047,1995,1996-02-23
Run All Night,6.3,71561644,2015,2015-03-13
Runaway Bride,5.7,309457509,1999,1999-07-30
Runner Runner,5.5,62616646,2013,2013-10-04
Running Scared,7,9500000,2006,2006-02-24
Running with Scissors,5.8,6754898,2006,2006-10-27
Rush,7.7,90247624,1991,1992-01-17
Rush,7.7,90247624,2013,2013-09-27
Rush Hour 2,6.4,347325802,2001,2001-08-03
Rush Hour 3,6.1,258022233,2007,2007-08-10
Rushmore,7.5,17096053,1998,1999-02-19
S.W.A.T.,5.8,116643346,2003,2003-08-08
Sabotage,5.5,17508518,2014,2014-03-28
Safe,6.3,40346186,1995,1995-06-30
Safe,6.3,40346186,2012,2012-04-27
Safe Haven,6.9,97594140,2013,2013-02-14
Safety Not Guaranteed,6.8,4007792,2012,2012-10-18
Sahara,5.7,119269486,2005,2005-04-08
Salt,6.2,293329073,2010,2010-07-23
San Andreas,6,470490832,2015,2015-05-29
Sanctum,5.8,108609310,2011,2011-02-04
Sausage Party,5.6,140752617,2016,2016-08-12
Savages,6.2,82966152,2012,2012-07-06
Save the Last Dance,6.3,91038276,2001,2001-01-12
Saving Mr. Banks,7.3,112544580,2013,2013-12-20
Saving Private Ryan,7.9,481840909,1998,1998-07-24
Saving Silverman,5.4,19351569,2001,2001-02-09
Saw,7.2,103911669,2004,2004-10-29
Saw II,6.3,152925093,2005,2005-10-28
Saw III,6.1,163876815,2006,2006-10-27
Saw IV,5.9,139352633,2007,2007-10-26
Saw V,5.9,113857533,2008,2008-10-24
Scary Movie 2,5.4,141220678,2001,2001-07-04
Scary Movie 3,5.8,220673217,2003,2003-10-24
Scary Movie 4,5.3,178262620,2006,2006-04-14
Scary Movie 5,4.6,78378744,2013,2013-04-12
Schindler's List,8.3,321365567,1993,1994-02-04
School for Scoundrels,5.6,17807569,2006,2006-09-29
School of Rock,6.7,131282949,2003,2003-10-03
Scooby-Doo,5.4,275650703,2002,2002-06-14
Scoop,6.4,31584901,2006,2006-07-28
Scott Pilgrim vs. the World,7.2,47664559,2010,2010-08-13
Scream,7,173046663,1996,1996-12-20
Scream 2,6.1,172363301,1997,1997-12-12
Scream 3,5.7,161834276,2000,2000-02-04
Scream 4,6.1,97138686,2011,2011-04-15
Se7en,8.1,327311859,1995,1995-09-22
Sea of Love,6.7,110879513,1989,1989-09-15
Seabiscuit,6.7,148336445,2003,2003-07-25
Secret in Their Eyes,6.2,34854990,2015,2015-11-20
Secret Window,6.4,92913171,2004,2004-03-12
Secretariat,6.8,60251371,2010,2010-10-08
Secretary,6.7,9304609,2002,2002-10-11
Seeking a Friend for the End of the World,6.3,9636289,2012,2012-06-22
Selena,7,60000000,1997,1997-03-21
Self/less,6.3,30523226,2015,2015-07-10
Selma,7.4,66787908,2014,2015-01-09
Sense and Sensibility,7.2,135000000,1995,1996-01-26
Serendipity,6.6,77516304,2001,2001-10-05
Serenity,7.4,38869464,2005,2005-09-30
Serial Mom,6.4,7820688,1994,1994-04-13
Serving Sara,5,16930185,2002,2002-08-23
Session 9,6.2,373967,2001,2001-09-14
Set It Off,6.9,41590886,1996,1996-11-06
Seven Pounds,7.5,168167691,2008,2008-12-19
Seven Psychopaths,6.7,19422261,2012,2012-10-12
Seven Years in Tibet,7,131457682,1997,1997-10-10
Seventh Son,5.2,114178613,2014,2015-02-06
Sex Drive,6,18755936,2008,2008-10-17
Sex Tape,5.3,126069509,2014,2014-07-18
Shadow of the Vampire,6.6,8279017,2000,2001-01-26
Shaft,5.5,107196498,2000,2000-06-16
Shakespeare in Love,6.8,289317794,1998,1999-01-08
Shallow Hal,5.7,141069860,2001,2001-11-09
Shame,7,17693675,2011,2012-03-16
Shanghai Knights,6,88323487,2003,2003-02-07
Shanghai Noon,6.2,56932305,2000,2000-05-26
Shark Tale,5.8,367275019,2004,2004-10-01
She's All That,5.7,103166989,1999,1999-01-29
She's Out of My League,5.9,49779728,2010,2010-03-12
She's the Man,6.4,33889159,2006,2006-03-17
She's the One,5.7,9482579,1996,1996-08-23
Sherlock Holmes,7,524028679,2009,2009-12-25
Sherlock Holmes: A Game of Shadows,7,334615000,2011,2011-12-16
Shooter,6.9,95696996,2007,2007-03-23
Shooting Fish,7,302204,1997,1998-05-01
Showdown in Little Tokyo,5.7,2275557,1991,1991-08-23
Showgirls,4.9,20350754,1995,1995-09-22
Shrek,7.3,484409218,2001,2001-05-18
Shrek 2,6.7,919838758,2004,2004-05-19
Shrek Forever After,6,752600867,2010,2010-05-21
Shrek the Third,6,798958165,2007,2007-05-18
Shutter Island,7.8,294804195,2010,2010-02-19
Sicario,7.2,84025816,2015,2015-10-02
Side Effects,6.4,63372757,2013,2013-02-08
Sideways,6.9,109502303,2004,2005-01-21
Signs,6.4,408247917,2002,2002-08-02
Silent House,5.2,13101672,2011,2012-03-09
Silver Linings Playbook,6.9,205738714,2012,2012-12-25
Simon Birch,6.5,18253415,1998,1998-09-11
Sin City,7.2,158733820,2005,2005-04-01
Sin City: A Dame to Kill For,6.3,39407616,2014,2014-08-22
Sinbad: Legend of the Seven Seas,6.6,26288320,2003,2003-07-02
Sinister,6.7,77712439,2012,2012-10-12
Sinister 2,5.4,52882018,2015,2015-08-21
Six Days Seven Nights,5.6,164000000,1998,1998-06-12
Six-String Samurai,5.8,124494,1998,1998-09-18
Sky Captain and the World of Tomorrow,5.7,57958696,2004,2004-09-17
Sky High,5.8,86369815,2005,2005-07-29
Skyfall,6.9,1108561013,2012,2012-11-09
Skyline,4.7,66821036,2010,2010-11-12
Slackers,5.4,6413915,2002,2002-02-01
Sleepers,7.3,165615285,1996,1996-10-18
Sliding Doors,6.5,58000000,1998,1998-05-01
Sling Blade,7.4,24475416,1996,1997-03-14
Slumdog Millionaire,7.6,377910544,2008,2008-12-25
Small Soldiers,6.2,54682547,1998,1998-07-10
Smokin' Aces,6.4,57103895,2006,2007-01-26
Snake Eyes,5.8,103891409,1998,1998-08-07
Snitch,5.8,42930462,2013,2013-02-22
Snow White and the Huntsman,5.8,396600000,2012,2012-06-01
Soldier,6.1,14567883,1998,1998-10-23
Solitary Man,5.8,5024782,2009,2010-06-25
Something Borrowed,5.9,59901913,2011,2011-05-06
Something's Gotta Give,6.3,266728738,2003,2003-12-12
Sorority Row,5.4,27206120,2009,2009-09-11
Soul Plane,4.7,14822346,2004,2004-05-28
Soul Surfer,6.9,47088990,2011,2011-04-08
Source Code,7.1,147332697,2011,2011-04-01
Southland Tales,5.2,374743,2006,2007-12-07
Space Cowboys,6.3,128884132,2000,2000-08-04
Space Jam,6.5,250200000,1996,1996-11-15
Spaceballs,6.7,38119483,1987,1987-06-24
Spaced Invaders,4.7,15369573,1990,1990-04-27
Spanglish,5.8,55041367,2004,2004-12-17
Spawn,5,87840042,1997,1997-08-01
Species,5.5,113374103,1995,1995-07-07
Spectre,6.3,880674609,2015,2015-11-06
Speed,6.8,350448145,1994,1994-06-10
Speed 2: Cruise Control,4.1,164508066,1997,1997-06-13
Speed Racer,5.7,93945766,2008,2008-05-09
Sphere,5.8,13100000,1998,1998-02-13
Spice World,4.7,100000000,1997,1998-01-23
Spider-Man,6.8,821708551,2002,2002-05-03
Spider-Man 2,6.7,783766341,2004,2004-06-30
Spider-Man 3,5.9,890871626,2007,2007-05-04
Spirit: Stallion of the Cimarron,7.4,122563539,2002,2002-05-24
Spirited Away,8.3,274925095,2001,2003-03-28
Spotlight,7.8,88346473,2015,2015-11-20
Spring Breakers,5,31724284,2012,2013-03-22
Spy Kids,5.5,147934180,2001,2001-03-30
St. Vincent,7.1,54837234,2014,2014-10-24
Stake Land,6.2,33245,2010,2011-12-09
Stand by Me,7.8,52287414,1986,1986-08-22
Star Trek,7.4,385680446,2009,2009-05-08
Star Trek Beyond,6.6,343471816,2016,2016-07-22
Star Trek Into Darkness,7.4,467365246,2013,2013-05-16
Star Trek IV: The Voyage Home,6.9,133000000,1986,1986-11-26
Star Trek V: The Final Frontier,5.6,70200000,1989,1989-06-09
Star Trek VI: The Undiscovered Country,6.7,96900000,1991,1991-12-06
Star Trek: Generations,6.4,120000000,1994,1994-11-18
Star Trek: Insurrection,6.3,118000000,1998,1998-12-11
Star Trek: Nemesis,6.1,67312826,2002,2002-12-13
Star Wars: Episode I - The Phantom Menace,6.3,924317558,1999,1999-05-19
Star Wars: Episode II - Attack of the Clones,6.4,649398328,2002,2002-05-16
Star Wars: Episode III - Revenge of the Sith,7.1,850000000,2005,2005-05-19
Stardust,7.1,135560026,2007,2007-08-10
Starship Troopers,6.7,121214377,1997,1997-11-07
Starsky & Hutch,5.6,170268750,2004,2004-03-05
Stay Alive,5.3,27105095,2006,2006-03-24
Stealth,4.9,76932943,2005,2005-07-29
Steel,4.3,1686429,1997,1997-08-15
Step Brothers,6.5,128107642,2008,2008-07-25
Step Up,6.7,114194847,2006,2006-08-11
Step Up 2: The Streets,6.5,150816700,2008,2008-02-14
Step Up 3D,6.6,159291809,2010,2010-08-06
Step Up Revolution,6.7,140470746,2012,2012-07-27
Steve Jobs,6.8,34441873,2015,2015-10-23
Stigmata,6,50041732,1999,1999-09-10
Still Alice,7.5,43884652,2014,2015-02-20
Stir of Echoes,6.5,21133087,1999,1999-09-10
Stoker,6.5,12077441,2013,2013-04-05
Stolen,5.1,2106557,2012,2013-04-05
Stomp the Yard,6.1,75511123,2007,2007-01-12
Stone,5.2,9479718,2010,2010-10-22
Stop-Loss,6.1,11207130,2008,2008-03-28
Straight Outta Compton,7.7,201634991,2015,2015-08-14
Stranger Than Fiction,7.1,53653224,2006,2006-11-10
Strangerland,5.1,17472,2015,2015-07-10
Straw Dogs,5.5,10324441,2011,2011-09-16
Street Fighter,4.1,99423521,1994,1994-12-23
